파일명,실제구분,음성길이(초),길이구간,최종위험점수,AI음성확률,최종판정
4차례 신고된 남성 전화금융사기범 음성 2-1.m4a,보이스피싱,43.7,40s~60s,5.0,60.3%,보이스피싱
11번수정-1.m4a,보이스피싱,32.4,20s~40s,3.97,40.6%,보이스피싱
4차례 신고된 여성 전화금융사기범-1.m4a,보이스피싱,26.4,20s~40s,2.04,52.5%,정상
4차례 신고된 여성 전화금융사기범 음성 1-4.m4a,보이스피싱,58.3,40s~60s,1.37,N/A,정상
6차례 신고된 남성 전화금융사기범 음성 1-2.m4a,보이스피싱,32.8,20s~40s,0.79,N/A,정상
4차례 신고된 남성 전화금융사기범 음성 1-4.m4a,보이스피싱,64.9,1m~1m20s,5.0,67.0%,보이스피싱
4차례 신고된 여성 전화금융사기범 음성 2-1.m4a,보이스피싱,90.1,1m20s~,5.0,54.7%,보이스피싱
9번_3차례 신고된 남성 전화금융사기범 (음성_9)-2.m4a,보이스피싱,39.7,20s~40s,1.12,N/A,정상
4차례 신고된 남성 전화금융사기범 음성 7-2.m4a,보이스피싱,125.8,1m20s~,5.0,62.4%,보이스피싱
3차-(1).16차례 신고된 남성 전화금융사기범 음성-7.m4a,보이스피싱,19.8,~20s,3.98,72.6%,보이스피싱
4차례 신고된 남성 전화금융사기범 음성 5-1.m4a,보이스피싱,64.5,1m~1m20s,5.0,38.9%,보이스피싱
15master-1.m4a,보이스피싱,62.9,1m~1m20s,3.97,43.0%,보이스피싱
3차-(1).16차례 신고된 남성 전화금융사기범 음성-6.m4a,보이스피싱,26.4,20s~40s,2.4,47.8%,정상
4차례 신고된 남성 전화금융사기범 음성 7-3.m4a,보이스피싱,96.6,1m20s~,4.69,59.4%,보이스피싱
9번_3차례 신고된 남성 전화금융사기범 (음성_9)-3.m4a,보이스피싱,31.4,20s~40s,0.38,N/A,정상
6차례 신고된 남성 전화금융사기범 음성 3-1.m4a,보이스피싱,76.1,1m~1m20s,0.76,N/A,정상
6차례 신고된 남성 전화금융사기범 음성 1-3.m4a,보이스피싱,71.4,1m~1m20s,3.11,39.0%,정상
8번_3차례 신고된 남성 전화금융사기범 (음성_8)-1.m4a,보이스피싱,55.7,40s~60s,5.0,54.9%,보이스피싱
8번_3차례 신고된 남성 전화금융사기범 (음성_8)-3.m4a,보이스피싱,35.8,20s~40s,3.39,50.9%,정상
6차례 신고된 남성 전화금융사기범 음성 1-1.m4a,보이스피싱,48.3,40s~60s,0.37,N/A,정상
6차례 신고된 남성 전화금융사기범 음성 3-3.m4a,보이스피싱,53.0,40s~60s,1.39,N/A,정상
4차례 신고된 여성 전화금융사기범 음성 2-2.m4a,보이스피싱,84.1,1m20s~,5.0,61.2%,보이스피싱
9번_3차례 신고된 남성 전화금융사기범 (음성_9)-1.m4a,보이스피싱,41.8,40s~60s,2.74,71.7%,정상
4차례 신고된 남성 전화금융사기범 음성 7-1.m4a,보이스피싱,61.1,1m~1m20s,1.92,N/A,정상
15master-3.m4a,보이스피싱,48.8,40s~60s,3.95,70.4%,보이스피싱
3차-(1).16차례 신고된 남성 전화금융사기범 음성-4.m4a,보이스피싱,34.2,20s~40s,0.89,N/A,정상
4차례 신고된 남성 전화금융사기범 음성 5-3.m4a,보이스피싱,41.6,40s~60s,5.0,49.5%,보이스피싱
4차례 신고된 남성 전화금융사기범 음성 5-2.m4a,보이스피싱,99.7,1m20s~,5.0,47.8%,보이스피싱
3차-(1).16차례 신고된 남성 전화금융사기범 음성-5.m4a,보이스피싱,28.8,20s~40s,0.63,N/A,정상
15master-2.m4a,보이스피싱,44.0,40s~60s,0.59,N/A,정상
4차례 신고된 여성 전화금융사기범 음성 2-3.m4a,보이스피싱,82.7,1m20s~,2.35,55.9%,정상
6차례 신고된 남성 전화금융사기범 음성 3-2.m4a,보이스피싱,75.7,1m~1m20s,5.0,66.9%,보이스피싱
금감원_보이스피싱_6_수정08-1.m4a,보이스피싱,161.7,1m20s~,4.91,78.3%,보이스피싱
4차례 신고된 남성 전화금융사기범 음성 3-4.m4a,보이스피싱,71.3,1m~1m20s,1.67,N/A,정상
8번_3차례 신고된 남성 전화금융사기범 (음성_8)-2.m4a,보이스피싱,58.1,40s~60s,0.11,N/A,정상
6차례 신고된 남성 전화금융사기범 음성 1-4.m4a,보이스피싱,69.7,1m~1m20s,2.11,65.3%,정상
4차례 신고된 남성 전화금융사기범 음성 1-2.m4a,보이스피싱,38.6,20s~40s,2.21,56.5%,정상
6차례 신고된 남성 전화금융사기범 음성 3-6.m4a,보이스피싱,51.1,40s~60s,3.06,47.6%,정상
금감원_보이스피싱_1_수정08-1.m4a,보이스피싱,228.7,1m20s~,5.0,67.5%,보이스피싱
4차례 신고된 남성 전화금융사기범 음성 7-4.m4a,보이스피싱,100.7,1m20s~,3.46,55.3%,정상
3차-(1).16차례 신고된 남성 전화금융사기범 음성-1.m4a,보이스피싱,37.5,20s~40s,5.0,48.3%,보이스피싱
2번_3차례 신고된 여성 전화금융사기범 (음성_2)-2.m4a,보이스피싱,59.6,40s~60s,4.35,52.6%,보이스피싱
12번_3차례 신고된 남성 전화금융사기범 (음성_12)-1.m4a,보이스피싱,35.6,20s~40s,4.93,53.0%,보이스피싱
2번_3차례 신고된 여성 전화금융사기범 (음성_2)-3.m4a,보이스피싱,69.0,1m~1m20s,2.3,55.3%,정상
10번_3차례 신고된 남성 전화금융사기범 (음성_10)-1.m4a,보이스피싱,71.8,1m~1m20s,4.51,54.6%,보이스피싱
4차례 신고된 남성 전화금융사기범 음성 1-3.m4a,보이스피싱,58.0,40s~60s,5.0,57.7%,보이스피싱
15번_3차례 신고된 남성 전화금융사기범 (음성_15)-1.m4a,보이스피싱,64.5,1m~1m20s,4.04,49.8%,보이스피싱
6차례 신고된 남성 전화금융사기범 음성 1-5.m4a,보이스피싱,60.3,1m~1m20s,0.0,N/A,정상
4차례 신고된 남성 전화금융사기범 음성 3-1.m4a,보이스피싱,61.6,1m~1m20s,5.0,50.3%,보이스피싱
4차례 신고된 남성 전화금융사기범 음성 3-3.m4a,보이스피싱,91.1,1m20s~,5.0,49.5%,보이스피싱
15번_3차례 신고된 남성 전화금융사기범 (음성_15)-3.m4a,보이스피싱,49.0,40s~60s,1.69,N/A,정상
4차례 신고된 남성 전화금융사기범 음성 1-1.m4a,보이스피싱,54.2,40s~60s,5.0,60.8%,보이스피싱
6차례 신고된 남성 전화금융사기범 음성 3-5.m4a,보이스피싱,55.0,40s~60s,4.76,75.9%,보이스피싱
10번_3차례 신고된 남성 전화금융사기범 (음성_10)-3.m4a,보이스피싱,55.5,40s~60s,5.0,43.4%,보이스피싱
4차례 신고된 여성 전화금융사기범 음성 2-4.m4a,보이스피싱,54.5,40s~60s,4.18,69.8%,보이스피싱
3차-(1).16차례 신고된 남성 전화금융사기범 음성-2.m4a,보이스피싱,32.5,20s~40s,3.39,72.4%,정상
2번_3차례 신고된 여성 전화금융사기범 (음성_2)-1.m4a,보이스피싱,206.1,1m20s~,5.0,67.6%,보이스피싱
12번_3차례 신고된 남성 전화금융사기범 (음성_12)-3.m4a,보이스피싱,35.0,20s~40s,0.73,N/A,정상
4차례 신고된 남성 전화금융사기범 음성 5-4.m4a,보이스피싱,98.6,1m20s~,0.0,N/A,정상
12번_3차례 신고된 남성 전화금융사기범 (음성_12)-2.m4a,보이스피싱,53.8,40s~60s,0.0,N/A,정상
3차-(1).16차례 신고된 남성 전화금융사기범 음성-3.m4a,보이스피싱,26.9,20s~40s,1.98,N/A,정상
10번_3차례 신고된 남성 전화금융사기범 (음성_10)-2.m4a,보이스피싱,35.9,20s~40s,5.0,43.9%,보이스피싱
6차례 신고된 남성 전화금융사기범 음성 3-4.m4a,보이스피싱,59.6,40s~60s,5.0,47.9%,보이스피싱
15번_3차례 신고된 남성 전화금융사기범 (음성_15)-2.m4a,보이스피싱,43.6,40s~60s,1.06,N/A,정상
6차례 신고된 남성 전화금융사기범 음성 1-6.m4a,보이스피싱,68.5,1m~1m20s,3.08,42.9%,정상
4차례 신고된 남성 전화금융사기범 음성 3-2.m4a,보이스피싱,47.6,40s~60s,4.2,51.7%,보이스피싱
