파일명,실제구분,음성길이(초),길이구간,최종위험점수,AI음성확률,최종판정
5차례 신고된 남성 전화금융사기범 음성 4-5.m4a,보이스피싱,95.5,1m20s~,5.0,54.1%,보이스피싱
17번수정-1.m4a,보이스피싱,66.7,1m~1m20s,5.0,50.9%,보이스피싱
5번수정-3.m4a,보이스피싱,60.5,1m~1m20s,5.0,67.0%,보이스피싱
5차례 신고된 남성 전화금융사기범 음성 2-3.m4a,보이스피싱,68.7,1m~1m20s,5.0,57.8%,보이스피싱
13번수정-2.m4a,보이스피싱,32.2,20s~40s,3.55,56.2%,보이스피싱
5차례 신고된 남성 전화금융사기범 음성 2-1.m4a,보이스피싱,86.8,1m20s~,5.0,49.6%,보이스피싱
5번수정-1.m4a,보이스피싱,50.6,40s~60s,5.0,65.0%,보이스피싱
17번수정-3.m4a,보이스피싱,57.6,40s~60s,5.0,37.8%,보이스피싱
금감원_보이스피싱_12_수정07-1.m4a,보이스피싱,176.0,1m20s~,5.0,79.6%,보이스피싱
17번수정-2.m4a,보이스피싱,37.1,20s~40s,4.56,61.6%,보이스피싱
13번수정-3.m4a,보이스피싱,71.9,1m~1m20s,5.0,61.1%,보이스피싱
4차례 신고된 남성 전화금융사기범-3.m4a,보이스피싱,38.7,20s~40s,5.0,51.4%,보이스피싱
4차례 신고된 남성 전화금융사기범 음성 4-3.m4a,보이스피싱,120.6,1m20s~,4.91,62.0%,보이스피싱
4차례 신고된 남성 전화금융사기범 음성 6-1.m4a,보이스피싱,89.6,1m20s~,5.0,61.2%,보이스피싱
6차례 신고된 남성 전화금융사기범 음성 2-3.m4a,보이스피싱,92.6,1m20s~,5.0,51.5%,보이스피싱
16번수정-1.m4a,보이스피싱,32.8,20s~40s,5.0,53.6%,보이스피싱
4차례 신고된 남성 전화금융사기범 음성 2-4.m4a,보이스피싱,69.5,1m~1m20s,5.0,61.8%,보이스피싱
7master-1.m4a,보이스피싱,56.9,40s~60s,5.0,58.3%,보이스피싱
6차례 신고된 남성 전화금융사기범 음성 2-2.m4a,보이스피싱,51.6,40s~60s,5.0,71.2%,보이스피싱
11번수정-4.m4a,보이스피싱,101.2,1m20s~,5.0,64.0%,보이스피싱
4차례 신고된 남성 전화금융사기범 음성 4-2.m4a,보이스피싱,34.0,20s~40s,5.0,52.1%,보이스피싱
금감원_보이스피싱_3_수정07-1.m4a,보이스피싱,158.9,1m20s~,4.91,62.7%,보이스피싱
4차례 신고된 남성 전화금융사기범-2.m4a,보이스피싱,40.8,40s~60s,3.18,58.0%,정상
4차례 신고된 여성 전화금융사기범 음성 1-1.m4a,보이스피싱,97.5,1m20s~,4.91,67.4%,보이스피싱
4차례 신고된 여성 전화금융사기범 음성 1-3.m4a,보이스피싱,76.4,1m~1m20s,5.0,65.6%,보이스피싱
4차례 신고된 남성 전화금융사기범 음성 6-2.m4a,보이스피싱,85.7,1m20s~,5.0,70.6%,보이스피싱
16번수정-2.m4a,보이스피싱,71.1,1m~1m20s,5.0,62.9%,보이스피싱
7master-3.m4a,보이스피싱,44.5,40s~60s,5.0,57.0%,보이스피싱
7master-2.m4a,보이스피싱,40.7,40s~60s,5.0,66.0%,보이스피싱
16번수정-3.m4a,보이스피싱,38.8,20s~40s,3.36,67.7%,정상
6차례 신고된 남성 전화금융사기범 음성 2-1.m4a,보이스피싱,43.9,40s~60s,5.0,71.5%,보이스피싱
4차례 신고된 남성 전화금융사기범 음성 6-3.m4a,보이스피싱,104.7,1m20s~,5.0,61.3%,보이스피싱
4차례 신고된 남성 전화금융사기범 음성 4-1.m4a,보이스피싱,42.9,40s~60s,5.0,34.3%,보이스피싱
4차례 신고된 남성 전화금융사기범-1.m4a,보이스피싱,70.8,1m~1m20s,5.0,63.0%,보이스피싱
