파일명,실제구분,음성길이(초),길이구간,최종위험점수,AI음성확률,최종판정
4차례 신고된 남성 전화금융사기범 음성 6-2.m4a,보이스피싱,85.7,1m20s~,5.0,69.0%,보이스피싱
16번수정-2.m4a,보이스피싱,71.1,1m~1m20s,5.0,62.9%,보이스피싱
7master-3.m4a,보이스피싱,44.5,40s~60s,5.0,56.4%,보이스피싱
7master-2.m4a,보이스피싱,40.7,40s~60s,5.0,66.0%,보이스피싱
16번수정-3.m4a,보이스피싱,38.8,20s~40s,3.35,67.7%,정상
6차례 신고된 남성 전화금융사기범 음성 2-1.m4a,보이스피싱,43.9,40s~60s,5.0,71.5%,보이스피싱
4차례 신고된 남성 전화금융사기범 음성 6-3.m4a,보이스피싱,104.7,1m20s~,5.0,61.3%,보이스피싱
4차례 신고된 남성 전화금융사기범 음성 4-1.m4a,보이스피싱,42.9,40s~60s,5.0,34.2%,보이스피싱
4차례 신고된 남성 전화금융사기범-1.m4a,보이스피싱,70.8,1m~1m20s,5.0,62.9%,보이스피싱
4차례 신고된 여성 전화금융사기범 음성 1-2.m4a,보이스피싱,123.4,1m20s~,5.0,46.2%,보이스피싱
4차례 신고된 여성 전화금융사기범-3.m4a,보이스피싱,56.6,40s~60s,5.0,50.5%,보이스피싱
11번수정-3.m4a,보이스피싱,60.7,1m~1m20s,5.0,67.9%,보이스피싱
금감원_보이스피싱_9_수정06-1.m4a,보이스피싱,36.0,20s~40s,5.0,75.5%,보이스피싱
6차례 신고된 남성 전화금융사기범 음성 2-5.m4a,보이스피싱,47.1,40s~60s,5.0,71.9%,보이스피싱
금감원_보이스피싱_10_수정07-1.m4a,보이스피싱,152.4,1m20s~,5.0,69.6%,보이스피싱
4차례 신고된 남성 전화금융사기범 음성 2-3.m4a,보이스피싱,67.9,1m~1m20s,5.0,51.7%,보이스피싱
4차례 신고된 남성 전화금융사기범 음성 2-2.m4a,보이스피싱,85.6,1m20s~,4.77,67.8%,보이스피싱
6차례 신고된 남성 전화금융사기범 음성 2-4.m4a,보이스피싱,56.2,40s~60s,5.0,82.9%,보이스피싱
11번수정-2.m4a,보이스피싱,105.0,1m20s~,5.0,70.2%,보이스피싱
4차례 신고된 남성 전화금융사기범-4.m4a,보이스피싱,30.8,20s~40s,4.91,70.7%,보이스피싱
4차례 신고된 남성 전화금융사기범 음성 4-4.m4a,보이스피싱,37.9,20s~40s,5.0,55.4%,보이스피싱
4차례 신고된 여성 전화금융사기범-2.m4a,보이스피싱,42.4,40s~60s,5.0,46.7%,보이스피싱
4차례 신고된 남성 전화금융사기범 음성 6-4.m4a,보이스피싱,96.2,1m20s~,5.0,62.4%,보이스피싱
6차례 신고된 남성 전화금융사기범 음성 2-6.m4a,보이스피싱,68.0,1m~1m20s,5.0,74.2%,보이스피싱
금감원_보이스피싱_4_수정07-1.m4a,보이스피싱,189.7,1m20s~,5.0,70.9%,보이스피싱
4차례 신고된 남성 전화금융사기범 음성 2-1.m4a,보이스피싱,43.7,40s~60s,5.0,60.3%,보이스피싱
11번수정-1.m4a,보이스피싱,32.4,20s~40s,5.0,46.9%,보이스피싱
4차례 신고된 여성 전화금융사기범-1.m4a,보이스피싱,26.4,20s~40s,5.0,54.0%,보이스피싱
4차례 신고된 여성 전화금융사기범 음성 1-4.m4a,보이스피싱,58.3,40s~60s,5.0,58.1%,보이스피싱
6차례 신고된 남성 전화금융사기범 음성 1-2.m4a,보이스피싱,32.8,20s~40s,4.9,38.0%,보이스피싱
4차례 신고된 남성 전화금융사기범 음성 1-4.m4a,보이스피싱,64.9,1m~1m20s,5.0,66.7%,보이스피싱
4차례 신고된 여성 전화금융사기범 음성 2-1.m4a,보이스피싱,90.1,1m20s~,5.0,52.2%,보이스피싱
9번_3차례 신고된 남성 전화금융사기범 (음성_9)-2.m4a,보이스피싱,39.7,20s~40s,4.97,74.5%,보이스피싱
4차례 신고된 남성 전화금융사기범 음성 7-2.m4a,보이스피싱,125.8,1m20s~,5.0,62.8%,보이스피싱
3차-(1).16차례 신고된 남성 전화금융사기범 음성-7.m4a,보이스피싱,19.8,~20s,4.77,71.0%,보이스피싱
4차례 신고된 남성 전화금융사기범 음성 5-1.m4a,보이스피싱,64.5,1m~1m20s,5.0,41.9%,보이스피싱
15master-1.m4a,보이스피싱,62.9,1m~1m20s,5.0,50.8%,보이스피싱
3차-(1).16차례 신고된 남성 전화금융사기범 음성-6.m4a,보이스피싱,26.4,20s~40s,2.86,47.8%,정상
4차례 신고된 남성 전화금융사기범 음성 7-3.m4a,보이스피싱,96.6,1m20s~,5.0,57.6%,보이스피싱
9번_3차례 신고된 남성 전화금융사기범 (음성_9)-3.m4a,보이스피싱,31.4,20s~40s,5.0,70.3%,보이스피싱
6차례 신고된 남성 전화금융사기범 음성 3-1.m4a,보이스피싱,76.1,1m~1m20s,5.0,48.3%,보이스피싱
6차례 신고된 남성 전화금융사기범 음성 1-3.m4a,보이스피싱,71.4,1m~1m20s,5.0,38.9%,보이스피싱
8번_3차례 신고된 남성 전화금융사기범 (음성_8)-1.m4a,보이스피싱,55.7,40s~60s,5.0,55.2%,보이스피싱
8번_3차례 신고된 남성 전화금융사기범 (음성_8)-3.m4a,보이스피싱,35.8,20s~40s,5.0,50.5%,보이스피싱
6차례 신고된 남성 전화금융사기범 음성 1-1.m4a,보이스피싱,48.3,40s~60s,5.0,62.3%,보이스피싱
6차례 신고된 남성 전화금융사기범 음성 3-3.m4a,보이스피싱,53.0,40s~60s,4.55,71.1%,보이스피싱
4차례 신고된 여성 전화금융사기범 음성 2-2.m4a,보이스피싱,84.1,1m20s~,5.0,58.3%,보이스피싱
9번_3차례 신고된 남성 전화금융사기범 (음성_9)-1.m4a,보이스피싱,41.8,40s~60s,5.0,71.0%,보이스피싱
4차례 신고된 남성 전화금융사기범 음성 7-1.m4a,보이스피싱,61.1,1m~1m20s,5.0,62.6%,보이스피싱
15master-3.m4a,보이스피싱,48.8,40s~60s,5.0,68.1%,보이스피싱
3차-(1).16차례 신고된 남성 전화금융사기범 음성-4.m4a,보이스피싱,34.2,20s~40s,5.0,45.7%,보이스피싱
4차례 신고된 남성 전화금융사기범 음성 5-3.m4a,보이스피싱,41.6,40s~60s,5.0,56.5%,보이스피싱
4차례 신고된 남성 전화금융사기범 음성 5-2.m4a,보이스피싱,99.7,1m20s~,5.0,48.8%,보이스피싱
3차-(1).16차례 신고된 남성 전화금융사기범 음성-5.m4a,보이스피싱,28.8,20s~40s,5.0,67.5%,보이스피싱
15master-2.m4a,보이스피싱,44.0,40s~60s,5.0,59.0%,보이스피싱
4차례 신고된 여성 전화금융사기범 음성 2-3.m4a,보이스피싱,82.7,1m20s~,5.0,62.5%,보이스피싱
6차례 신고된 남성 전화금융사기범 음성 3-2.m4a,보이스피싱,75.7,1m~1m20s,5.0,64.7%,보이스피싱
금감원_보이스피싱_6_수정08-1.m4a,보이스피싱,161.7,1m20s~,5.0,78.6%,보이스피싱
4차례 신고된 남성 전화금융사기범 음성 3-4.m4a,보이스피싱,71.3,1m~1m20s,5.0,73.2%,보이스피싱
8번_3차례 신고된 남성 전화금융사기범 (음성_8)-2.m4a,보이스피싱,58.1,40s~60s,4.25,71.3%,보이스피싱
6차례 신고된 남성 전화금융사기범 음성 1-4.m4a,보이스피싱,69.7,1m~1m20s,4.91,60.9%,보이스피싱
4차례 신고된 남성 전화금융사기범 음성 1-2.m4a,보이스피싱,38.6,20s~40s,5.0,59.9%,보이스피싱
6차례 신고된 남성 전화금융사기범 음성 3-6.m4a,보이스피싱,51.1,40s~60s,3.86,48.3%,보이스피싱
금감원_보이스피싱_1_수정08-1.m4a,보이스피싱,228.7,1m20s~,5.0,65.8%,보이스피싱
4차례 신고된 남성 전화금융사기범 음성 7-4.m4a,보이스피싱,100.7,1m20s~,5.0,55.6%,보이스피싱
3차-(1).16차례 신고된 남성 전화금융사기범 음성-1.m4a,보이스피싱,37.5,20s~40s,5.0,47.7%,보이스피싱
2번_3차례 신고된 여성 전화금융사기범 (음성_2)-2.m4a,보이스피싱,59.6,40s~60s,5.0,57.1%,보이스피싱
12번_3차례 신고된 남성 전화금융사기범 (음성_12)-1.m4a,보이스피싱,35.6,20s~40s,5.0,52.9%,보이스피싱
2번_3차례 신고된 여성 전화금융사기범 (음성_2)-3.m4a,보이스피싱,69.0,1m~1m20s,5.0,53.0%,보이스피싱
10번_3차례 신고된 남성 전화금융사기범 (음성_10)-1.m4a,보이스피싱,71.8,1m~1m20s,5.0,57.2%,보이스피싱
4차례 신고된 남성 전화금융사기범 음성 1-3.m4a,보이스피싱,58.0,40s~60s,5.0,56.3%,보이스피싱
15번_3차례 신고된 남성 전화금융사기범 (음성_15)-1.m4a,보이스피싱,64.5,1m~1m20s,5.0,63.9%,보이스피싱
6차례 신고된 남성 전화금융사기범 음성 1-5.m4a,보이스피싱,60.3,1m~1m20s,5.0,58.3%,보이스피싱
4차례 신고된 남성 전화금융사기범 음성 3-1.m4a,보이스피싱,61.6,1m~1m20s,5.0,54.5%,보이스피싱
4차례 신고된 남성 전화금융사기범 음성 3-3.m4a,보이스피싱,91.1,1m20s~,5.0,50.2%,보이스피싱
15번_3차례 신고된 남성 전화금융사기범 (음성_15)-3.m4a,보이스피싱,49.0,40s~60s,5.0,64.6%,보이스피싱
4차례 신고된 남성 전화금융사기범 음성 1-1.m4a,보이스피싱,54.2,40s~60s,5.0,63.2%,보이스피싱
6차례 신고된 남성 전화금융사기범 음성 3-5.m4a,보이스피싱,55.0,40s~60s,5.0,74.5%,보이스피싱
10번_3차례 신고된 남성 전화금융사기범 (음성_10)-3.m4a,보이스피싱,55.5,40s~60s,5.0,44.8%,보이스피싱
4차례 신고된 여성 전화금융사기범 음성 2-4.m4a,보이스피싱,54.5,40s~60s,4.37,69.8%,보이스피싱
3차-(1).16차례 신고된 남성 전화금융사기범 음성-2.m4a,보이스피싱,32.5,20s~40s,5.0,65.2%,보이스피싱
2번_3차례 신고된 여성 전화금융사기범 (음성_2)-1.m4a,보이스피싱,206.1,1m20s~,5.0,65.4%,보이스피싱
12번_3차례 신고된 남성 전화금융사기범 (음성_12)-3.m4a,보이스피싱,35.0,20s~40s,4.37,65.7%,보이스피싱
4차례 신고된 남성 전화금융사기범 음성 5-4.m4a,보이스피싱,98.6,1m20s~,0.0,N/A,정상
12번_3차례 신고된 남성 전화금융사기범 (음성_12)-2.m4a,보이스피싱,53.8,40s~60s,5.0,71.3%,보이스피싱
3차-(1).16차례 신고된 남성 전화금융사기범 음성-3.m4a,보이스피싱,26.9,20s~40s,4.14,47.8%,보이스피싱
10번_3차례 신고된 남성 전화금융사기범 (음성_10)-2.m4a,보이스피싱,35.9,20s~40s,5.0,60.6%,보이스피싱
6차례 신고된 남성 전화금융사기범 음성 3-4.m4a,보이스피싱,59.6,40s~60s,5.0,48.0%,보이스피싱
15번_3차례 신고된 남성 전화금융사기범 (음성_15)-2.m4a,보이스피싱,43.6,40s~60s,5.0,64.1%,보이스피싱
6차례 신고된 남성 전화금융사기범 음성 1-6.m4a,보이스피싱,68.5,1m~1m20s,5.0,44.8%,보이스피싱
4차례 신고된 남성 전화금융사기범 음성 3-2.m4a,보이스피싱,47.6,40s~60s,5.0,51.8%,보이스피싱
